"Name","GUID","Type"
"CHAOS_2_P4_Displacement","21da733a-81df-43d4-ba18-2ee0d7a7148d","SkillInfo"
"CHAOS_3_A1_Chaos Cloud","b7623568-8a0e-421a-a9fa-a2e16a695f82","SkillInfo"
"CHAOS_3_A2_Disperse","cdbc5288-d379-4256-8d2f-20c2e71bb77c","SkillInfo"
"CHAOS_3_A4_Magic Hat II","490820d0-5c0d-4cb6-b6a9-861be353c1e7","SkillInfo"
"CHAOS_3_P1_Variety I","d0081046-c138-449a-a9a8-1af95742348e","SkillInfo"
"CHAOS_3_P2_Affinity","ec7bba0a-75d9-4646-ad4c-0267685eada1","SkillInfo"
"CHAOS_3_P3_Aid","9030db1e-ca83-43a1-87f3-5d8dd75c712a","SkillInfo"
"CHAOS_3_P4_Harm","adca2a3d-dfb9-496a-9937-345c8fd286e7","SkillInfo"
"CHAOS_4_A1_Benevolence","56f9fd71-921b-4667-95d9-84f48848c39e","SkillInfo"
"CHAOS_4_A1_Touch of Chaos","c5fd69aa-49f2-4c3d-ba28-7db2cb1638fa","SkillInfo"
"CHAOS_4_A2_Malevolence","910725e7-09f1-4c8d-88f5-c7771cc8f748","SkillInfo"
"CHAOS_4_A3_Chaos Touch","cbab3dc9-5461-4441-933b-63e139ed3b7c","SkillInfo"
"CHAOS_4_A4_Magic Hat III","61fb3f6f-619b-4c40-9bb7-959602ceedcc","SkillInfo"
"CHAOS_4_P1_Variety II","84efd1f5-d6d5-436e-ae82-c5da0515c1cb","SkillInfo"
"CHAOS_4_P2_Fabricate","395e049f-cb56-4cc4-93ac-ac5a539de9fd","SkillInfo"
"CHAOS_5_A1_Chaos Crush","fb51cb55-667c-4fc2-8133-fe6ed849641e","SkillInfo"
"CHAOS_5_A2_Replicate","aba3d603-6b30-464a-b07f-9ae52a59d914","SkillInfo"
"CHAOS_5_P1_Reverberate","9c4a6fc9-b7c4-4f59-ae41-111b0c2cbcac","SkillInfo"
"CHAOS_5_P2_Perturb","d9fdbc0b-b2a4-4421-b9d2-5fc851a2d5fa","SkillInfo"
"ChildOfTheAbyss","db64adc4-ffb3-4d8a-801d-56b3af230e04","CharacterAttribute"
"ChilledDamageReduction","c70182fb-c469-4af8-95d7-1bf232759990","CharacterAttribute"
"Coin of Chaos","b9dc8396-c41d-436a-afb8-2e9b952e4cae","SkillInfo"
"COLD_1_A1_Frost Shard","d5ad8e29-3044-4448-9437-0caf985ea0a8","SkillInfo"
"COLD_1_A2_Chilling Strike","77fe40a7-9103-4178-8abc-8853d5ad3030","SkillInfo"
"COLD_1_A3_Frost Armor","2208fbbd-9850-4ab8-b79f-4890df3df20c","SkillInfo"
"COLD_1_A4_Freeze Earth","9dc01e66-033f-4253-b592-600ccd1ee086","SkillInfo"
"COLD_1_P1_Frostbite I","d8150318-0785-4e4b-a498-3309785b4818","SkillInfo"
"COLD_1_P2_Crystalize I","73f8d326-da19-4833-9d8e-37bef6108719","SkillInfo"
"COLD_1_P3_Frost Borne","72cb11ac-9b05-498e-b70f-277483276962","SkillInfo"
"COLD_2_A1_Frost Nova","58e5745d-97e6-435d-9cc3-32ba40624c70","SkillInfo"
"COLD_2_A2_Ice Lance","a01976e1-79bd-4b7c-b5ad-5d00d831dbaf","SkillInfo"
"COLD_2_A3_Enchant Cold","ec47077f-c7e0-46a8-919e-355574736558","SkillInfo"
"COLD_2_A4_Deep Freeze","89b80d70-2371-4ba1-a442-0874f08501c7","SkillInfo"
"COLD_2_P1_Frostbite II","e0c03c2e-91d4-43f4-a9eb-bca37a15531f","SkillInfo"
"COLD_2_P2_Crystalize II","3191db14-dd9e-41ad-a57d-582edb939bc4","SkillInfo"
"COLD_2_P3_Break The Ice","27017ff7-2c25-4374-97fd-dd8ce0c98d9a","SkillInfo"
"COLD_3_A1_Frozen Spikes","76acf606-9f9a-4a69-b535-53181edb48f4","SkillInfo"
"COLD_3_A2_Ice Wall","7e6703df-535d-48d9-9fa4-f8f110f3ce66","SkillInfo"
"COLD_3_A3_Breath of Winter","e5467ec0-99ad-45b4-85d2-463450c3cb5e","SkillInfo"
"COLD_3_A4_Aura Of Frost","4a94cc56-f32a-4773-ba12-0827b5808c70","SkillInfo"
"COLD_3_P1_Cold Blooded","9dd4c4d5-ee58-4024-9315-000ce9f1e999","SkillInfo"
"COLD_3_P2_Diamond Ice","3f4a5063-576b-4f12-8e8f-10ba9ddbb4df","SkillInfo"
"COLD_4_A1_Stasis","778a1e3a-907d-4926-aad3-921a9cdb2f3d","SkillInfo"
"COLD_4_A2_Ice Storm","48f86c3e-1b84-4137-bbb5-fde153b9c1b8","SkillInfo"
"COLD_4_A3_Brain Freeze","c311cbb4-a500-4e09-92f8-94bd89077ef8","SkillInfo"
"COLD_4_P1_Frozen Core","4e5e30b7-845b-4631-86ea-7ec768fa17ef","SkillInfo"
"COLD_4_P2_Invulnerable Winter","c4ba0e93-b273-496f-adb0-e22d9b360c41","SkillInfo"
"COLD_5_A1_Mass Freeze","0b79d5cc-d5a6-443f-9d82-f6af10ef03c5","SkillInfo"
"COLD_5_A2_Chain Frost","b23ba4f5-c901-432c-b0b7-8462836f5a98","SkillInfo"
"COLD_5_A3_Shatter","2fdc07c4-f235-47a0-8675-70bc7da2d682","SkillInfo"
"COLD_5_P1_Master Of Ice","559550e0-885c-4b8a-b34d-a6a1107e9fc7","SkillInfo"
"COLD_5_P2_Icefall","dae8969a-3ea5-4361-a0aa-8d87021a0b9a","SkillInfo"
"Colossus","3871b31d-f83b-4110-9856-d24bca131db4","CharacterAttribute"
"Conduit","bec1546f-f778-43d2-b1f4-e8c9aa408415","CharacterAttribute"
"ConsumableCooldown","a7ac087b-b337-434c-b1d7-cc935dad3c03","CharacterAttribute"
"ContagionLevel","a630ac31-e804-47c5-adbc-c918a896d2e2","CharacterAttribute"
"ContagionSource","a2521a8a-0001-4084-b980-aa091d1e7bda","CharacterAttribute"
"ContaminatedWound","9da1b386-cbcd-49ee-bc52-2f6134548db1","CharacterAttribute"
"CooldownMod","a267d517-3b3a-401e-8226-7bda8ec8f556","CharacterAttribute"
"CooldownModBasic","5791a368-fe6b-4177-981f-ebf9c1631bdc","CharacterAttribute"
"CooldownModChaos","1e937c93-b4ba-4dbe-8165-e18da52a55cf","CharacterAttribute"
"CooldownModCold","6bab4912-00c5-45ff-8635-119a2b874b24","CharacterAttribute"
"CooldownModFire","b46b95e0-c7fe-4cc4-9862-90b462d56c9c","CharacterAttribute"
"CooldownModInnate","68aeb534-0ccf-437d-9d51-590e49dc6efd","CharacterAttribute"
"CooldownModLight","17e3d431-fffb-46af-96c9-71dd7e124cfb","CharacterAttribute"
"CooldownModLightning","6c6b1b8c-7455-41df-9aca-d7b5bea76de3","CharacterAttribute"
"CooldownModMonk","a160b052-dc6c-4194-ab98-f1d8502aee6a","CharacterAttribute"
"CooldownModNature","715aa779-8a14-4db5-bb91-7278032d738f","CharacterAttribute"
"CooldownModRanger","6a747892-50e6-43a3-b048-446e80af95c2","CharacterAttribute"
"CooldownModShadow","bc059871-077f-4fc7-88e8-037738be459a","CharacterAttribute"
"CooldownModShapeshifting","6c0f42ab-f380-4590-a184-0e42a4cfe0cc","CharacterAttribute"
"CooldownModSummon","9a92972f-4d06-4efd-bb29-78b7445a25d7","CharacterAttribute"
"CooldownModThief","139d07ba-e1c2-4d8e-a5be-d2204f8d04d8","CharacterAttribute"
"CooldownModWarrior","d6e2804a-3d19-454a-9c1f-a5b411102276","CharacterAttribute"
"CounterAttackDamageMod","0112a561-dc68-4e98-b9dc-dd2dce2b39a9","CharacterAttribute"
"CounterAttackDamageModFromReflex","36d4cf4e-341e-4eb5-8f71-bfcd72dc92cc","CharacterAttribute"
"CounterAttacksPerTurn","9ac435a6-3c91-434e-84ab-e0b9e655fefa","CharacterAttribute"
"CraftingExperience","3b4e1c7e-e61c-430e-a838-5a65044d4c15","CharacterAttribute"
"CraftingLevel","17cdecb2-4bd0-4bf9-8f89-ad45f1a19d81","CharacterAttribute"
"CritChance","ba3c8186-c9eb-4650-8e87-e07eefc663c4","CharacterAttribute"
"CritChanceTarget","3d39ed58-1773-41b5-9723-73349aa0c9c9","CharacterAttribute"
"CritDamage","7875c048-078a-4d1a-a5c1-cc5ec20abf29","CharacterAttribute"
"CritDamageCold","35eadd16-4350-4ada-8e90-54d0e1b3beec","CharacterAttribute"
"CritDamageFire","92ab60b9-9e92-40dd-8215-d8c611556325","CharacterAttribute"
"CritDamageHealing","26083db5-f305-489c-bd68-3bc8d8d67821","CharacterAttribute"
"CritDamageLightning","90d09660-40d9-4cce-acba-a65986a30a50","CharacterAttribute"
"CritDamagePhysical","4d6cadb6-9443-4611-904b-44b12dee87ad","CharacterAttribute"
"CritDamageShadow","9ec6aa3e-53ef-481d-a90e-0879b2f71490","CharacterAttribute"
"CritDamageTarget","4dfaeb4b-0dec-4d75-96c3-5bbb6981a851","CharacterAttribute"
"CritDamageTreeBasic","e8910f84-699d-4a89-81a2-6d51605f2a6c","CharacterAttribute"
"CritRating","f6801929-7352-4a5d-b914-d3985de91ff3","CharacterAttribute"
"DamageFlatCold","3703bae9-b9f3-499c-8ef2-0eb764225496","CharacterAttribute"
"DamageFlatColdTarget","e21a9497-9a39-4def-8755-9fe5b619f89f","CharacterAttribute"
"DamageFlatFire","f1364726-770e-44b2-9b4b-8e866a306ee5","CharacterAttribute"
"DamageFlatFireTarget","f096fff9-d1d1-42b6-a979-96fb224c366c","CharacterAttribute"
"DamageFlatHealing","8aadcdb6-d4cd-4a8d-b2ab-319bddcd20fa","CharacterAttribute"
"DamageFlatHealingTarget","e2f48280-850e-4106-9c2a-893608290807","CharacterAttribute"
"DamageFlatLightning","5c56bbd3-85f7-4b62-91a2-723e2e755c1d","CharacterAttribute"
"DamageFlatLightningTarget","0aca0409-5c6a-467f-96c7-9e17df51f016","CharacterAttribute"
"DamageFlatPhysical","af71f47a-8729-4898-94c7-ab919b0abe16","CharacterAttribute"
"DamageFlatPhysicalTarget","95b06cd0-4a73-4f8f-979c-02b59b238f1b","CharacterAttribute"
"DamageFlatShadow","9bfb34a9-eda8-4366-a784-085583fc7256","CharacterAttribute"
"DamageFlatShadowTarget","91cb3003-86c6-48e4-b887-df1ada54f009","CharacterAttribute"
"DamageMod","770dfe0e-6bd0-4952-bd52-aac0fa029f49","CharacterAttribute"
"DamageModBasic","a314fe36-f81a-4008-8336-5ca3847b1c57","CharacterAttribute"
"DamageModCold","abfceda2-100c-4622-afcf-9170ed803ef6","CharacterAttribute"
"DamageModColdToFrozen","ebf3d9e8-8e98-4095-b5b7-751ea0d85b39","CharacterAttribute"
"DamageModFire","fd67216e-450f-4a3f-8463-6bb6cb347c0c","CharacterAttribute"
"DamageModHealing","f2670144-882c-4b19-a1ae-968908caa957","CharacterAttribute"
"DamageModLightning","284061b5-449e-4824-b2d3-2ce8bed5c332","CharacterAttribute"
"DamageModPhysical","706721c1-e82c-4694-ac7b-92397c1e9ca6","CharacterAttribute"
"DamageModShadow","4c572d14-09e2-42ad-a112-99126c3af306","CharacterAttribute"
"DamageModTargetBasic","25a1d117-3353-4417-a31a-0e1873a7a412","CharacterAttribute"
"DamageModTargetCold","0dfa57a7-eb9b-4cfb-b6e7-48de6a29f6ed","CharacterAttribute"
"DamageModTargetFire","bee5ffbc-0a92-4d55-8196-a96c9d561b69","CharacterAttribute"
"DamageModTargetHealing","1b5a038b-3e05-45c0-a43b-1f387362060b","CharacterAttribute"
"DamageModTargetLightning","365d0a9d-6c4c-4654-bb13-7a0094709002","CharacterAttribute"
"DamageModTargetPhysical","714828cf-babe-4001-9791-afe0ec219819","CharacterAttribute"
"DamageModTargetShadow","21d667a8-80c8-4e27-bb50-19b461ac35fe","CharacterAttribute"
"DamageReduction","6fd348f7-70c4-450b-b7d5-3ddb3d558d2a","CharacterAttribute"
"DamageReturnedCold","765c9232-f365-4e47-b712-e317c161141d","CharacterAttribute"
"DamageReturnedFire","65aed952-b8de-4e80-b9ea-a4118785982c","CharacterAttribute"
"DamageReturnedFlatCold","36516280-2b19-4fed-b28e-ca41ec1c8e3f","CharacterAttribute"
"DamageReturnedFlatFire","5d74b387-5c01-4314-b426-dbb0880dfd49","CharacterAttribute"
"DamageReturnedFlatLightning","2e2ea183-76bb-4a63-9bc2-28172b7ce65f","CharacterAttribute"
"DamageReturnedFlatPhysical","a47376d8-3586-4e7e-ae69-6a129be5d3e2","CharacterAttribute"
"DamageReturnedFlatShadow","c30f0f92-3dac-4de8-b825-5b096b584713","CharacterAttribute"
"DamageReturnedLightning","1d910821-9f13-4045-9e0f-94c463db0359","CharacterAttribute"
"DamageReturnedMod","e0833bc4-3cb5-4715-8cfa-3ca6cf05b53d","CharacterAttribute"
"DamageReturnedPhysical","349d607c-97cf-4eac-88e4-9f2434560d08","CharacterAttribute"
"DamageReturnedShadow","f9eefae4-5f57-44f9-85e6-f7c2a97c136c","CharacterAttribute"
"DamageReturnedToMana","5e10fb3a-7d03-456f-ab16-602ea55784ca","CharacterAttribute"
"DarkRitual","f802966d-b11a-4248-ad86-45b3361ced61","CharacterAttribute"
"DarkRitualedRecently","c2f5aeb4-cf59-43fe-9abd-d29e358de3cd","CharacterAttribute"
"Dexterity","c4e3e220-9ed2-456e-8e03-e16656327c54","CharacterAttribute"
"DexterityBase","a62aab5a-db9f-45be-a243-2ab12a7c80db","CharacterAttribute"
"Disabled","e41f0078-cbc5-4cf1-bb8a-5b32431a7579","CharacterAttribute"
"Dismiss Shapeshift","b682b407-2da2-4586-af4e-05b2bd5318cd","SkillInfo"
"DodgeChance","899a3ab7-19a0-4028-82de-0a1875f59887","CharacterAttribute"
"DodgeCounterChance","825a45f4-abd1-4fc1-84aa-fdba6ba18ba0","CharacterAttribute"
"DodgeRating","eefff790-4d7f-433e-aaa1-38c6af77de92","CharacterAttribute"
"Dragonkin Black","37af7274-087e-46f7-8a32-4a9966720978","SkillInfo"
"Dragonkin Fire Breath","8b01a130-c81b-455a-9437-cc59e2f3326d","SkillInfo"
"Dragonkin Flame Slash","3e463301-f301-49b5-93fa-ccb5889387c1","SkillInfo"
"Dragonkin Frost Breath","f9d85c5a-7576-4d37-843b-723e159d5206","SkillInfo"
"Dragonkin Frost Slash","bad87a3a-9f8c-410f-a6a9-f488a8d1ba7b","SkillInfo"
"Dragonkin Frozen Orb","8df74ec0-7fae-4e00-a6f3-85a0274df4c1","SkillInfo"
"Dragonkin Holy Blast","01a2099f-60d5-4768-b729-7e259bd8cdd1","SkillInfo"
"Dragonkin Holy Breath","60354f76-0a7c-4438-9008-85df8037405a","SkillInfo"
"Dragonkin Holy Slash","5925ed0a-e01f-4063-97c1-57ff584f2c59","SkillInfo"
"Dragonkin Lightning Breath","6a9ed2a9-ecad-4ca2-afc6-ef866c37d106","SkillInfo"
"Dragonkin Shadow Breath","f2f1bee4-2ea0-4247-9da2-be43133dd643","SkillInfo"
"Dragonkin Shadow Orb","d1041350-7f20-4596-b243-f3831e8fa8d1","SkillInfo"
"Dragonkin Shadow Slash","b2cc57fd-19e2-4669-9f4d-faf24f65ff19","SkillInfo"
"Dragonkin Sun Fire","922c35f7-9449-40d5-90f3-d93a4c0a26d3","SkillInfo"
"Dragonkin Thunder Blast","3fec6b86-5b4a-44eb-a690-4ad13c6c54ba","SkillInfo"
"Dragonkin Thunder Slash","089159a7-b192-41e8-880a-ecbd4488a7f8","SkillInfo"
"Dragonkin White","6341c783-ade4-4f5c-a124-af3de9b462ce","SkillInfo"
"DropQuantityMod","8f12c129-5ec5-48db-b568-222133f62479","CharacterAttribute"
"ElementalBlock","6d2de1a9-2350-47ce-b259-f6af36eba335","CharacterVariableAttribute"
"ElementalShield","0d9cb5e9-a3a6-4ce5-9bdd-47601ad85c63","CharacterVariableAttribute"
"Elixir of the Scarlet Ox","aa91c1ef-d110-427c-b712-6a26b9deaa67","SkillInfo"
"Enchant Holy","6b42dcc2-9354-4f06-8152-1fe09594bd66","SkillInfo"
"Enchant Shadow","07807a49-de05-463f-a775-0bfe02b105fb","SkillInfo"
"EnchantCold","637a531d-cc2a-4e7c-8fad-82df5b58db2e","CharacterAttribute"
"EnchantColdMagedrawValue","73e8acd4-6da8-4c55-b5c4-62c66bddfdb9","CharacterVariableAttribute"
"EnchantColdValue","f5483f71-f42d-48b0-a8a6-a83febbe9f58","CharacterVariableAttribute"
"EnchantFire","b879a213-2bd6-43d3-ac34-e734de888ab2","CharacterAttribute"
"EnchantFireMagedrawValue","c01901d1-26d2-41c2-a983-a44eaa0fbbff","CharacterVariableAttribute"
"EnchantFireValue","dd14cece-5486-4881-bde5-75c849d725fd","CharacterVariableAttribute"
"EnchantHolyValue","424b8ec9-82ef-43f5-8f1a-55f53880f8b1","CharacterVariableAttribute"
"EnchantLightning","92bba8a5-2c60-45bf-a49b-d1e362d4e484","CharacterAttribute"
"EnchantLightningMagedrawValue","e3121b49-7b9e-402f-9e9e-2f48b3b4f67c","CharacterVariableAttribute"
"EnchantLightningValue","f7cd6aa1-a8eb-4616-8e34-a4fa7f8e6cf2","CharacterVariableAttribute"
"EnchantShadowValue","aa13124d-78bf-4b0a-87a4-66a33a8005e0","CharacterVariableAttribute"
"Enemy Acid Burst","e35c7859-44a5-4648-b78a-fb4208405a26","SkillInfo"
"Enemy_3_A1_Soul Fracture","c690fa26-ce99-47f4-884c-b25a48c8b2ea","SkillInfo"
"Enemy_Abyssal Scream","b5eb0519-1106-4f61-9893-0d9b09fefadc","SkillInfo"
"Enemy_Battle Fury","9315d6ea-a3c9-4c3b-b366-b5f3d2ab3744","SkillInfo"
"Enemy_BER_Bleeding Cleave","d93f07ee-f74b-4901-b6f6-3577aa328513","SkillInfo"
"Enemy_Burrow","c6578044-b0d1-4efc-941f-5408b31afc88","SkillInfo"
"Enemy_COLD_Frost Nova","9cd65bf4-7475-48de-bf8d-5b697a16e580","SkillInfo"
"Enemy_COLD_Frost Rounds","7d8a159a-03ff-4a8b-8d3b-676f9d649c15","SkillInfo"
"Enemy_Corrosive Bite","c6bb98f3-aae3-4ee3-8793-98458f3430ea","SkillInfo"
"Enemy_Crystal Bite","c2b99db7-c8a0-40ff-b723-1f58d26cf9bc","SkillInfo"
"Enemy_Fear","e5467c06-1282-4960-9c3a-c0463d642d4c","SkillInfo"
"Enemy_FIRE_Detonate","0c29baa3-8621-4df3-8fca-f082429adfb0","SkillInfo"
"Enemy_FORGE_MassRuneOfExploding","85bac245-40e8-4a4b-a193-06874ef0ba72","SkillInfo"
"Enemy_HLY_Hand of God","7d67b03e-787a-4d38-aad1-e8c0ed480a10","SkillInfo"
"Enemy_Howl of Terror","13e43f4b-54bc-4069-bf10-2fbe0bf6ddd4","SkillInfo"
"Enemy_Ice Blink","ee8e6f7b-dc62-45da-9b3c-a36f0bedd8c3","SkillInfo"
"Enemy_Incalculable Rage","5e12dac8-a9d5-4509-b47f-c029154947e8","SkillInfo"
"Enemy_Indestructible","1aeb5764-e7c6-4d40-86eb-20c37c772eb0","SkillInfo"
"Enemy_LGT_Divine Door","1cbc04de-250c-4e83-aa54-d317f77990a9","SkillInfo"
"Enemy_LTN_Discharge","820e764a-7dd5-43f2-ac3d-7c566f044bd0","SkillInfo"
"Enemy_Melee_Fissure","ecb99317-902d-4a6e-950a-b7fa77357b51","SkillInfo"
"Enemy_Monster Summoning IV","ae16210c-0f41-4aa0-bffa-d2e2fbf41479","SkillInfo"
"Enemy_Obsidian Strike","edb7226f-44c7-4652-91db-59ccc020f7c4","SkillInfo"
"Enemy_Overgrow","be0d4b34-5639-49f4-b081-4d17a203b50f","SkillInfo"
"Enemy_Passive_Cannibalism","f19f1ce4-1057-4c73-b70e-fa614775a8ea","SkillInfo"
"Enemy_Passive_Hellfire","e5a9a33b-2d7e-435f-8b3a-78df81d9d63c","SkillInfo"
"Enemy_Passive_Molten Plating","ecb80244-d1db-412d-9fc6-fa08d722c11d","SkillInfo"
"Enemy_Passive_Obsidian Plating","a25c3b59-1e44-445d-a5f9-ccf0308a4f19","SkillInfo"
"Enemy_Passive_Pack Hunter","775596bf-10fb-4ce0-be22-20ed24a94a1b","SkillInfo"
"Enemy_Passive_Sandstone Plating","ab37d047-ff36-47aa-9d28-1c59e61308cd","SkillInfo"
