Name,GUID
Canary Chapeau,3784daab-75e8-4046-bfd8-ab3e5aaaf126
Canary Coat,352e9ddc-4370-4b25-b72a-371b28c02a70
Canary Feathered Beret,070f2117-941b-417e-bafb-471eacf02340
Canary Tunic,62541c99-eaef-41cd-a55c-99b50473c712
Candy Leaf,aaf64124-119c-4637-a8e3-edba2f741674
Captain's Sidearm,c61e451f-f554-45e9-a008-5383ca2ea977
Ceremonial Spear,a01aec40-aca4-411a-a25e-72bbdd993b6b
Cestus,6c3f9d31-4dfb-4837-b987-b41f271b08d4
Chain Coif,ea90d300-65ab-4d1f-9f96-7d4a3b76d3f2
Chain Helm,0a30deac-808a-470e-8d91-a120b5d09121
Chain Mail,adf2d21b-615e-4c7b-bd7d-aec23c1da1ac
Challenger's Garb,2dff5d19-0936-4dcf-a589-edeadd0500d2
Champion Blade,6d7650ea-3082-459e-afad-2c6fa079c986
Champion's Garb,3170788c-147a-4926-9477-913f822bffcb
Chitin Shield,cd11e5e3-eb23-4bab-b8b7-3833025bc803
Chromatic Koi,f5747518-358e-464b-b682-21c686036cfe
Chromatic Tonic,96c7768b-de4b-4ef7-8049-18ffbd09af1b
Claw of Kuvonn,dcda7804-59ca-43b8-8dc8-0fcbe5634755
Cleric's Garb,6e2c018e-f425-4735-a7d7-5c48c83c59fd
Cleric's Hammer,baa7c324-73b6-4d3d-88b1-030dad4d7407
Coach Gun,ee2bbcac-5868-4a87-bb54-2a6151b48371
Cold Steel Axe,afe53537-14ac-41b3-8435-5669a97d854b
Coldsteel Vanquisher,ef460452-7cd2-4ba4-b2cc-3f206398cf6f
Competitor's Garb,1fde985d-9226-4176-b460-cd7acaaa6dbe
Composite Longbow,a820ce65-1fe6-4835-9846-d55d2a3e56eb
Concealed Pistol,b6ef267e-b1d0-4fa5-b771-01b37b90f878
Conduit Ring,445b6e09-cf16-4e38-9018-0d49479a66eb
Conduit Rod,4aa3f87f-130b-4403-9f2c-e2cd592033c8
Contender's Chain,3dcd19d4-bab0-470c-8746-7532bad8e6d6
Copper Knuckles,5606b76d-a88d-4371-bce9-20dd55bbced7
Copper Ore,a729f2af-1760-45fe-99a3-905479203e0f
Copper Pendant,047a25d5-467c-4872-90f5-436cc1f60499
Copper Ring,60cc8b96-cdc1-42d8-823d-ab06cc99de49
Copper Scepter,5d5e1669-862a-42d2-bcae-cb1c7310f9b8
Coral,7451ec1f-6cf7-445b-a2c3-8f66a0075081
Corrupted Roots,12e163af-0d34-4fa9-946f-50d73d1a58db
Corrupted Shard,d55301bd-57a7-4ead-b614-6e3f4c014817
Crimson Brand,9ef4d0d7-ac68-40dc-84b3-1575169ce313
Crimson Coat,645da07a-4eb1-49aa-a74c-323a0df8e5aa
Crimson Crusher,c73423d7-ecf1-4ee4-9770-89b1846e7102
Crimson Guard,7f966f52-ebcd-4b88-9d0e-c50d244eb03f
Crimson Hatchet,54825b9d-4a23-4818-8d40-943340c5ba3d
Crimson Sceptre,6331af41-dd52-4a25-9b24-e32c6c65e3c3
Crimson Slayer,ef792092-212f-4c76-89e8-7229eb4c7119
Crimson Squid,7cad5a17-022f-4797-8ed1-c6100b1a6d6f
Crown of Mana,7fa5ff79-50b3-4232-86d2-bc9774d0e6e8
Cruel Blade,38629e2a-cf26-4636-bf9c-f71751ef8651
Crusader Chainmail,ffed6d94-60e7-46c9-8c13-96db8091293b
Crusader Sword,ecad0e86-daac-486e-adeb-d5e338f88594
Crusader's Chain Hood,33c999b5-4433-41b2-bbb1-b96c1c4219e6
Crystal Baton,7d03c400-9b7d-49d7-ba46-b3f7b1e97c46
Crystal Cane,610507c2-b7a1-4fa1-b33d-732e67a9372a
Crystal Rod,b5ad6a0f-9d78-42b8-a918-9c4663a1c7cb
Crystal Shillelagh,dfd5fd8d-5aaa-4953-b809-93de3ff96001
Crystal Spire,c5488bbc-8ba1-44f9-9c01-d5d0fd106a17
Crystal Staff,21d269fa-fc97-4813-bd8e-63e509127da6
Crystal Urchin,fd598841-bfa0-478a-ae40-8f9d9f970eef
Crystalline Snowflake,019ea503-7b2e-444b-a22c-4966301d34b7
Cultist Hood,256f5784-9bf7-4a20-bd4d-fb7f8b3bc6a1
Cultist Robes,1733df1c-68ef-49b7-83bb-67f167338194
Cursed Coin,5e7a5bf0-3557-494d-a87e-35091ebe5a33
Cursed Idol,e3649c22-25f3-463c-ac5c-a903f2ee7fb6
Cursed Papyrus,e5c5761a-f81e-4883-bf1b-bd1b4aef1f87
Cutlass,83ca1f5c-fa9c-4cc3-b037-460fe70d3395
Dandelion,7ff588eb-f34f-4cf0-a582-afd3033d7eca
Dandelion Bud,98ad1857-c220-43f4-a6a7-7d0ae5fa1395
Dark God's Sceptre,858490ec-a070-4027-bc90-32cf9d836065
Dark Steel Helm,8fd7e1ac-6f18-4a6b-bc58-b1b28ba90dcc
Dark Steel Locket,b9b639bd-d39a-41a3-b353-9d1781767384
Dark Steel Platemail,f9006fcb-830b-4441-9614-0eb3cb595db2
Dark Steel Ring,390c7179-6b8e-4207-a5b7-3a0c0e813aef
Dead One's Head,7e9de279-7a7c-4201-afa1-3e26c48e9315
Dead One's Mind,be6a6803-03df-43e1-adb8-65c5e1199926
Dead One's Phylactery,fba2c5d1-81e1-4ce8-8596-c340fb65a950
Dead One's Robes,348f434f-0e26-4782-ae76-70e81f262116
Dead One's Scythe,5080ac8c-d02e-456d-aadd-f4be1511995e
Deep Dweller,cce2adbf-308c-4c5f-9d3a-a086ef03e0fa
Defense Flask,5e7ba0b8-882f-4534-967a-abb5cdfb9e11
Demon Skull,e05e07de-c09e-406f-9916-3eee43d7331b
Demon Soul,13447e12-1af2-4696-aad8-ab4659cc562a
Desert Rose,dafb0aa7-0a46-48be-ade6-f9dfd47c0436
Diamond,92a03b77-8ca0-4a10-a448-02402e4168ca
Diamond Necklace,94905979-286f-4984-a832-49e084c05b35
Diamond Ring,49899b32-2243-43b1-af4c-b10edac7f7be
Discipline,2295f52d-04c0-4ccb-b507-c3c922a6dd84
Divinity Staff,0c675bb8-f499-44e7-b588-74f001d0a558
Dragon Fist,38b4a977-74d1-4649-a6b5-d0da5fae5650
Dragon's Blood Amulet,b31300f4-5cfb-46f8-b33b-6bdd4df963c7
Drake Eye Pendant,1123b10b-2ece-42c5-90ec-1937f204d19d
Draught of Life,eeebec19-be2b-4c32-9f76-e613787af263
Duelist's Vest,9ca3abc1-63f8-4d69-80c3-fea589bb44e7
Dwarven Defender,a3b43fdc-a76e-4e2e-b678-84db49d84ca1
Dwarven Greatsword,3287d8ed-6b63-4f7d-905e-91a191fd31f8
Dwarven Handaxe,6eae9f78-73d4-4d30-b35f-6c8043d1cdf1
Dwarven Helm,5647a33a-296b-4fe3-ae10-b2bb73371289
Dwarven Lord's Sceptre,7c9ed450-44cf-41f4-a13f-e577137d5311
Dwarven Morningstar,c87ad8d4-fbae-42e8-bbd7-8e86cada2f46
Dwarven Pickaxe,124cddec-7161-4b26-b13e-04804ef21da8
Dwarven Platemail,a00ea89d-0956-4620-8fbc-74bc33ec0404
Dwarven Sceptre,cfb4885a-8b16-430e-bac8-edddfdafd03c
Dwarven Spellhammer,56d93505-9ac5-4ad2-8f55-9730d53ae47c
Dwarven Spellshield,0ae93305-9ef7-42b9-b647-583249c76819
Eagle Charm,f4416e71-7332-49e7-a93d-8b00d513099b
Earthshaker,0a798cd7-2c53-463e-a7d4-0ec1f574c7f1
Ectoplasm,7eb31424-f6a0-4ff0-996a-fb20ef220906
El Capitan,f13ee11c-bf95-4b62-9139-ad683ee018cc
Elder Branch,16a59190-3445-4fb3-acec-b4c5ad3e94cd
Elegant Blade,63093cb4-32e9-43b1-8159-7fbe862187fd
Elemental Chain,c7f2a14d-56c4-4742-ade7-ef95988c2a91
Elemental Gi,4fb384ed-62a8-41a1-b418-14dba5e27a7c
Elemental Hood,375fa069-a9b1-4575-8342-35db17675be9
Elemental Loop,c554087b-3017-4f59-9f47-f7b088740665
Elephant Gun,b4b57549-63cb-4a06-82ad-c328383de058
Ember King's Might,0fbbda0f-1696-40db-aceb-3059eaa516c0
Ember King's Will,4b4c031c-8f4b-49cb-8ed5-cbff85fce364
Emberstone,f1e08c8d-4752-46ac-92fe-43e0842a65e9
Emberstone Ring,0d5d4432-3760-44da-8e57-718726e99d49
Emberstone Staff,ca69b54c-2b59-4a02-a24e-1cb46ec97edf
Emblem of Power,abccf8dc-102d-4b17-a600-54c9c25522b7
Emerald,0c8633a5-9747-4989-9ab1-8f90184b0da8
Emerald Cross Cap,4b2c9e85-503f-4e54-9263-f12d635bd302
Emerald Cross Helm,3e6793a1-e042-4a53-905a-2ef4d9098dc3
Emerald Cross Tunic,4ff4874b-cdf9-4a29-99e2-f7576f10872e
Emperor's Cuirass,e47c7e0b-7b41-42d6-b558-2ce5dbf39080
Enchanted Bark,cf80b033-f011-45f9-8997-a8cc572ed3fa
Enchanted Spark,d674e7a4-d7b4-491b-baa3-af6cb66768da
Enchanter's Hat,72eafc6a-16ed-42e6-a9f4-00547192160f
Enchanter's Robe,af3b9525-ef41-4264-b2a9-02ecae47568c
Energizing Elixir,bf441dc4-d213-441f-9d72-ad320cf50109
Energy Vestments,1d5e5ca8-80d1-4f87-add0-58b5f6920c2c
Enforcer Helm,397675d4-fdaf-419c-926a-717f3118a52d
Enraptured Static,d11b5a5f-2942-456e-97ca-e655d9973d8e
Essence of Flame,a7901975-1fe2-49d3-984e-3a26b02b09a0
Essence of Frost,4ecfa222-f9b9-4ba2-854c-6b14dc6ffc43
Essence of Shadow,74fd8f5f-f4b3-42e8-bf4a-d5e080e29bd6
Essence of Thunder,f09245a4-bd29-40a9-9fbe-d946db355d27
Ethereal Charm,8b2d267f-5d1e-43c9-bdce-31c36092a218
Ethereal Loop,845ed2d4-8b17-4e45-8fe6-f8400e78c88e
Excalibur,ee17e688-4c9a-4d43-b87c-69c1623a8612
Executioner Axe,755086a5-3b93-446a-9a74-b2631452ae83
Eyedrops,f5d65708-2126-4c90-ac75-e2da562ce531
Fallen Cleric Robes,548cf40c-284b-4657-bd76-8e10b6bdd29f
Feather,c9402992-fee6-40dd-b1ac-e45cd4c5103b
Femur,8219f947-72a8-441f-8315-dac233cb7e15
Fencer's Gift,38692ced-0675-488a-871d-0c6f26eb4137
Fiddler Crab,9eea54e4-d9bd-4ab6-a14f-0c272c4e77c2
Fighter's Half-Plate,f1f96fdb-f198-4986-b843-83569ddbedf6
Fine Feather,29ef8514-3d14-4b52-8357-8d4981bb92f3
Fire Core,377f29a2-b2d6-4bfa-ba49-89617680b593
Fire Garb,8c05814b-2c8e-4ea7-aa28-cd5cb44fcdd5
Fire Gi,80b42d15-54bd-4339-a4b2-1c7065043991
Fire Hood,b3082069-350f-4720-91bc-eb0e3ccf2b1a
Fire Kelp,0ed3c481-0310-4a83-9d02-c6df4ceee581
Fire Salamander,2b587dc8-45b9-4b11-aa64-96e2e8d6cb6d
Fire Wraps,8d0819e1-c55f-431d-97e6-1588a853e7d0
Fishing Spear,79bf9b87-fa07-4d71-84b9-d0fe774a41d0
Flame Grasp,d512884f-4861-4c1a-b2b9-3b897618b330
Flame Hat,fe364790-f5ab-43fa-968b-ee920aed8ace
Flame Vestments,5684c4f0-8c73-41c7-9a56-9d3378c1b4c0
Flanged Mace,be149d1e-3dab-45ec-bc6a-81e312588cc0
Flayer Blade,f2f5c8ef-ec1c-4168-b862-0c145ea65622
Flintlock Pistol,c63804e6-6514-4196-a6d7-f9b573603212
Flintlock Rifle,0118e463-bcad-4cfc-aa35-c76a5fb86efd
Foe-Crusher,490cbf0f-fcdd-4b59-9b10-0e38dbcac9ca
Foestave,306c7c9a-bfd7-4a08-83ed-dab77134f6f5
Forest Glaive,6b4be93f-7c2f-4f09-a037-47a3dac5d4f1
Forest Pendant,8d921cc3-e501-4899-b4a4-a2ba843bc0a5
Forgemaster's Links,611125e6-28fd-4381-bc19-5daa891e91a1
Fork,8183a69c-847e-4d2c-964d-6d4955939050
Forkaxe,6e6dd704-056e-484d-9262-1c16c8893e4e
Fortified Flask,010ffa65-b682-4dbb-9823-00eab67d970b
Fossil,f9524ec0-ad2e-4eb2-b03d-a5ff98ef78ad
Fox Charm,bd098d71-a4ee-46d0-9111-2589edeeb311
Fox Pelt,68e77dfc-60a5-46f8-b5b6-6804e0ef0c02
Fox Tooth,67201689-ffd4-4609-82c6-7ef9598d4743
Friendship Band,8c8fbd34-3417-490a-94ea-96092354dd6c
Frog Helm,d9337587-e88c-49c6-a2b9-930440defbdf
Frost Core,efb3b74d-6d8c-4b4b-8811-e90384f93e9d
Frost Grasp,f42f325c-e3a6-4976-856c-18341a8cc68f
Frost Hat,e8a81be8-3d95-4dd0-b2d5-9123e034ddc0
Frost Leaf,f3ad9581-c758-447b-bbd7-1ee772c0935b
Frost Mantle,e6dc2d8e-d816-4ae2-bec7-251a0c209a30
Full Plate Helm,3470af53-bcea-400f-8176-7e67dfed3ba9
Full Platemail,81b6a05b-6eb3-4eb4-9f7b-c9cfc1400558
Fury Staff,e7e3dcb8-a5a7-46c9-bc29-9745e9c18d73
Garnet,b9f1fbc0-a55f-4c96-9d1a-4611cf21e685
Gatecrasher,da838f4b-d8d9-4dce-885b-2815696cf53f
Gathering Scythe,6bcf349b-d463-4325-9348-78912899e74d
Gemstone Baton,73ac8db1-7fc0-4d17-8c71-ae96b0970751
Gemstone Cane,82dcd769-db4d-4d42-be02-cec7e01cc910
Gemstone Ritual Staff,af234de2-dad2-4f07-aa21-1f1f9064a8fc
Gemstone Shillelagh,2eb8c877-5f5d-447a-a32a-13d82506bc72
Gemstone Staff,8433fff9-adcf-4426-85fa-47f497bdd1b2
Gemstone Wand,7e0aa4d1-6886-443e-b03c-ac7348df65c1
Gemstone Wand Rod,b967e01a-370a-4424-8d82-1ce31df683ea
Gemstone Wand Sprig,91dc0a5c-4257-4fff-b7c2-dcbc525d1d0f
Gentleman's Cap,854cd190-952d-4087-ac29-f208e57aae20
Gentleman's Pistol,3e31a026-d078-4b8a-8287-a8112ab03f09
Gentleman's Vest,a7b56dc6-9633-4896-aba8-978769516cf0
Ghost Face,55586da4-e89d-4ebc-be74-3e0f37a562bb
Ghost Hunter,42ea7c33-6b30-43cd-8546-e29052136a5d
Ghost Salamander,eec7493f-0a12-4ce2-98a8-0c296fa14669
Ghost Shroom,35a7f369-c065-494b-9e0c-34cfed46211d
Giant Leech,12861077-6d55-4624-b78a-2e89985f352a
Giant Ray,5ef40180-c7c1-47e7-90cc-9fa58205226c
Giant Stalk,912c7a03-6fd4-41fe-984e-ebfc1ae6eff7
Gigantic Fossil,31bf78cd-1ef2-4450-b603-3337c4bff82d
Gilded Axe,24930d0d-651e-43aa-a91d-5144afbe1893
Gilded Hatchet,f15015e0-68bd-4152-b648-06010e188554
Gilded Kite Shield,df92c60d-5012-4438-bb44-7a86e7d8f2d0
Gilded Rapier,7b8b495b-3e6f-4526-9cc9-cf5b37078988
Gilded Scepter,c6707f31-f2b6-441e-a924-5a0153372089
Gilded Spear,04a9aae6-3cd3-43a7-9f6c-407a9df40220
Gilded Staff,44dba311-cc87-4693-9747-544b3542fc5d
Gladiator's Garb,0f479ddf-d186-442d-95c3-0f6e3641fc7f
Gladiator's Mark,4121382b-4443-45ec-a9b6-406b1fa566d1
Gladiator's Spear,3c553530-05de-446c-a575-b40a1c205c4b
Gladius,7bfc4501-bfd2-4160-b039-d3548323c5b0
Glaive,8ffe4c08-6c4a-4242-9fec-0af9fa4e976e
Glass,d63ab1ea-bef2-4440-8569-7958303656f7
Glass Lobster,88727b58-ea8b-4fdf-b390-111e9975debb
Glyph of Almada,5d88ac6c-9a7c-4f83-962e-bde28d970c28
Gobfather's Smasher,bcff19b1-bc08-4ef1-a0b2-e572081b7895
Goblin Bone Axe,12bbf749-74c0-479c-a6fc-256039fa68c3
Goblin Bone Necklace,0cc13acc-9da5-4606-84c2-ed7faaa87e3f
Goblin Bone Ring,4afe5f98-1603-4a6b-9bbf-3301d84a59b4
Goblin Chieftain Axe,a83c30c3-f569-4a2f-bed1-5502e1052f4e
Goblin Club,d01cdd11-39e9-4cb9-bd51-8523d0b84061
Goblin Matchete,14597ce5-7e64-4b56-97b0-88c8b2ce4e59
Goblin Shaman Staff,8cd2100e-6870-4fe1-981b-9719846f1b38
Goblin Shield,900cfcc2-377a-4aa7-84f3-9facb00791aa
Goblin Shortsword,1d76b980-48b9-45a2-927c-dc2a1ee9a6a8
Goblin Spear,e329e515-e4db-4b13-ab0a-c547a2d21d39
Gold Bar,12ff0141-1600-4548-96d4-c7f9730495e3
Gold Cestus,4e2c4fa0-682d-4fa1-b34b-080e9272951b
Gold Dust,158f7d28-a0af-4655-b076-e6dacbe077b7
Gold Necklace,a6a2b188-398f-4ae2-8482-ed8f461a7d7b
Gold Ore,f61bb324-af9c-4bd1-834f-930cf558aae9
Gold Ring,810b09d9-e0dd-4032-9283-197320d02bc6
Gold Statue Arm,daf8e08a-3b18-4595-b58d-b84f663eaea1
Gold Statue Head,0d9b459f-0fa7-4cef-a17c-7270d7e9c5c9
Gold Statue Torso,4b62bd76-48b3-4d47-971e-b2d89be60ee7
Goldbloom,bd981a38-82dd-4473-95fc-ca3669d28d64
Golden Aspis,f11fd081-d369-4220-97cf-69ba1e52b990
Golden Bear Head,46fe25c0-06f6-464c-ab84-c7a9302a17f3
Golden Cross,16dcf3ad-6504-4dc7-aa3a-727ffaf9afd3
Golden Fleece,1daec67a-2824-4d70-9e9e-9bf2f35b160f
Golden Scepter,c707a913-67c3-4202-af5e-fb589d149232
Golden Valkyrie Helm,154e0f8c-198a-4aab-95b7-d50d717a90b1
Golden Valkyrie Plate,a231a488-cd2f-45a3-90d0-2f4481626b36
Golden Valkyrie Spear,c7ab3f8d-6a38-4270-8353-54d6ff649917
Golem Eye,c26882e3-4085-49ac-ae11-60781ea6f3a6
Goliath Bass,048f3028-76ca-4705-93c7-8f0752a21f55
Grandfather Odachi,42184d54-e23f-4bb4-9bb6-057c15117230
Grandmaster's Gi,e1320988-0c1c-43d4-9ded-6918213126d9
Grave Kiss,af0e3dc2-9854-4644-bf5a-41751b9f01ce
Gravestone,62c25dd1-f951-4abf-80a8-cc80c660941e
Great Helm,63335cf3-664b-4bec-ac55-0be61df00b99
Greater Healing Potion,6f3cff46-f7e7-4b8a-b514-01cb0a22fddb
Greater Mana Potion,5e75f071-9716-4ba5-83d9-6e276477a597
Green Dragon Eye,e0ecb290-aa63-43c0-ad5d-ce6fa662b3f8
Green Dragon Scale,a1345d3e-69bc-479d-9a76-afa9e602e815
Green Drake Scale,b707e914-3eae-41c0-aabe-ad829d29c376
Griffin Horn,96812f17-42e7-4382-be7d-fcbe98a41f2c
Guard's Spear,b89a0967-0343-4eaa-be4a-9671563068dc
Guardian Flask,0938e1de-f799-4be6-be45-6ec6b159092b
Guardian's Way,7241bb91-23b7-430a-a673-3d254855c3b4
Hailstone,77175819-0f2f-405c-a6f9-316271686fde
Hailstone Ring,e51426f0-144a-48a1-8c54-fb66cef01241
Hailstone Staff,0c37ac37-f202-4fdf-a813-ae578d3df6aa
Halberd,a97f15b3-2f27-428a-a623-4631033b5c07
Half-Halberd,06c42de8-9a80-433d-b373-0c18f47c2dcd
Hammertooth Shark,1c1508ec-7e23-42ca-a7be-e3dc2c6e6d80
Hand Axe,5e26eae4-6f4f-4b5c-9bf5-2d1977ce39ed
Hand Cannon,2ebed090-57bf-44a8-915e-c88c379ecbca
Harmonious Garb,03e15e57-62e3-4f6b-9fe3-01aa5db49918
Harpoon,7aaa6b10-aa9d-4ff2-986c-50cd30fac243
Harvester,6ad45c23-1206-43b9-a588-17059b7621f5
Hatchet,a1290cf0-c723-4ade-83da-c1cbea3542d7
Healing Potion,cf4efbb8-3e80-48e4-83c3-43a577e8fca9
